,Round,Pick,Overall,Team,Player,Position,Year,overall_pick,pick_points
0,1.0,1.0,2018-1,BUF,Rasmus Dahlin,D,2018,1,216
1,1.0,2.0,2018-2,CAR,Andrei Svechnikov,F,2018,2,215
2,1.0,3.0,2018-3,MTL,Jesperi Kotkaniemi,F,2018,3,214
3,1.0,4.0,2018-4,OTT,Brady Tkachuk,F,2018,4,213
4,1.0,5.0,2018-5,ARI,Barrett Hayton,F,2018,5,212
5,1.0,6.0,2018-6,DET,Filip Zadina,F,2018,6,211
6,1.0,7.0,2018-7,VAN,Quintin Hughes,D,2018,7,210
7,1.0,8.0,2018-8,CHI,Adam Boqvist,D,2018,8,209
8,1.0,9.0,2018-9,NYR,Vitali Kravtsov,F,2018,9,208
9,1.0,10.0,2018-10,EDM,Evan Bouchard,D,2018,10,207
10,1.0,11.0,2018-11,NYI,Oliver Wahlstrom,F,2018,11,206
11,1.0,12.0,2018-12,NYI,Noah Dobson,D,2018,12,205
12,1.0,13.0,2018-13,DAL,Ty Dellandrea,F,2018,13,204
13,1.0,14.0,2018-14,PHI,Joel Farabee,F,2018,14,203
14,1.0,15.0,2018-15,FLA,Grigori Denisenko,F,2018,15,202
15,1.0,16.0,2018-16,COL,Martin Kaut,F,2018,16,201
16,1.0,17.0,2018-17,NJD,Ty Smith,D,2018,17,200
17,1.0,18.0,2018-18,CBJ,Liam Foudy,F,2018,18,199
18,1.0,19.0,2018-19,PHI,Jay O'Brien,F,2018,19,198
19,1.0,20.0,2018-20,LAK,Rasmus Kupari,F,2018,20,197
20,1.0,21.0,2018-21,SJS,Ryan Merkley,D,2018,21,196
21,1.0,22.0,2018-22,NYR,K'Andre Miller,D,2018,22,195
22,1.0,23.0,2018-23,ANA,Isac Lundestrom,F,2018,23,194
23,1.0,24.0,2018-24,MIN,Filip Johansson,D,2018,24,193
24,1.0,25.0,2018-25,STL,Dominik Bokk,F,2018,25,192
25,1.0,26.0,2018-26,OTT,Jacob Bernard-Docker,D,2018,26,191
26,1.0,27.0,2018-27,CHI,Nicolas Beaudin,D,2018,27,190
27,1.0,28.0,2018-28,NYR,Nils Lundkvist,D,2018,28,189
28,1.0,29.0,2018-29,TOR,Rasmus Sandin,D,2018,29,188
29,1.0,30.0,2018-30,DET,Joseph Veleno,F,2018,30,187
30,1.0,31.0,2018-31,WSH,Alexander Alexeyev,D,2018,31,186
31,1.0,1.0,2017-1,NJD,Nico Hischier,F,2017,1,216
32,1.0,2.0,2017-2,PHI,Nolan Patrick,F,2017,2,215
33,1.0,3.0,2017-3,DAL,Miro Heiskanen,D,2017,3,214
34,1.0,4.0,2017-4,COL,Cale Makar,D,2017,4,213
35,1.0,5.0,2017-5,VAN,Elias Pettersson,F,2017,5,212
36,1.0,6.0,2017-6,VGK,Cody Glass,F,2017,6,211
37,1.0,7.0,2017-7,NYR,Lias Andersson,F,2017,7,210
38,1.0,8.0,2017-8,BUF,Casey Mittelstadt,F,2017,8,209
39,1.0,9.0,2017-9,DET,Michael Rasmussen,F,2017,9,208
40,1.0,10.0,2017-10,FLA,Owen Tippett,F,2017,10,207
41,1.0,11.0,2017-11,LAK,Gabriel Vilardi,F,2017,11,206
42,1.0,12.0,2017-12,CAR,Martin Necas,F,2017,12,205
43,1.0,13.0,2017-13,VGK,Nick Suzuki,F,2017,13,204
44,1.0,14.0,2017-14,TBL,Callan Foote,D,2017,14,203
45,1.0,15.0,2017-15,VGK,Erik Brannstrom,D,2017,15,202
46,1.0,16.0,2017-16,CGY,Juuso Valimaki,D,2017,16,201
47,1.0,17.0,2017-17,TOR,Timothy Liljegren,D,2017,17,200
48,1.0,18.0,2017-18,BOS,Urho Vaakanainen,D,2017,18,199
49,1.0,19.0,2017-19,SJS,Josh Norris,F,2017,19,198
50,1.0,20.0,2017-20,STL,Robert Thomas,F,2017,20,197
51,1.0,21.0,2017-21,NYR,Filip Chytil,F,2017,21,196
52,1.0,22.0,2017-22,EDM,Kailer Yamamoto,F,2017,22,195
53,1.0,23.0,2017-23,ARI,Pierre-Olivier Joseph,D,2017,23,194
54,1.0,24.0,2017-24,WPG,Kristian Vesalainen,LW/RW,2017,24,193
55,1.0,25.0,2017-25,MTL,Ryan Poehling,F,2017,25,192
56,1.0,26.0,2017-26,DAL,Jake Oettinger,G,2017,26,191
57,1.0,27.0,2017-27,PHI,Morgan Frost,F,2017,27,190
58,1.0,28.0,2017-28,OTT,Shane Bowers,F,2017,28,189
59,1.0,29.0,2017-29,CHI,Henri Jokiharju,D,2017,29,188
60,1.0,30.0,2017-30,NSH,Eeli Tolvanen,F,2017,30,187
61,1.0,31.0,2017-31,STL,Klim Kostin,C/LW,2017,31,186
62,1.0,1.0,2016-1,TOR,Auston Matthews,F,2016,1,210
63,1.0,2.0,2016-2,WPG,Patrik Laine,F,2016,2,209
64,1.0,3.0,2016-3,CBJ,Pierre-Luc Dubois,F,2016,3,208
65,1.0,4.0,2016-4,EDM,Jesse Puljujarvi,F,2016,4,207
66,1.0,5.0,2016-5,VAN,Olli Juolevi,D,2016,5,206
67,1.0,6.0,2016-6,CGY,Matthew Tkachuk,F,2016,6,205
68,1.0,7.0,2016-7,ARI,Clayton Keller,F,2016,7,204
69,1.0,8.0,2016-8,BUF,Alexander Nylander,F,2016,8,203
70,1.0,9.0,2016-9,MTL,Mikhail Sergachev,D,2016,9,202
71,1.0,10.0,2016-10,COL,Tyson Jost,F,2016,10,201
72,1.0,11.0,2016-11,OTT,Logan Brown,F,2016,11,200
73,1.0,12.0,2016-12,NJD,Michael McLeod,F,2016,12,199
74,1.0,13.0,2016-13,CAR,Jake Bean,D,2016,13,198
75,1.0,14.0,2016-14,BOS,Charlie McAvoy,D,2016,14,197
76,1.0,15.0,2016-15,MIN,Luke Kunin,F,2016,15,196
77,1.0,16.0,2016-16,ARI,Jakob Chychrun,D,2016,16,195
78,1.0,17.0,2016-17,NSH,Dante Fabbro,D,2016,17,194
79,1.0,18.0,2016-18,WPG,Logan Stanley,D,2016,18,193
80,1.0,19.0,2016-19,NYI,Kieffer Bellows,F,2016,19,192
81,1.0,20.0,2016-20,DET,Dennis Cholowski,D,2016,20,191
82,1.0,21.0,2016-21,CAR,Julien Gauthier,F,2016,21,190
83,1.0,22.0,2016-22,PHI,German Rubtsov,F,2016,22,189
84,1.0,23.0,2016-23,FLA,Henrik Borgstrom,F,2016,23,188
85,1.0,24.0,2016-24,ANA,Max Jones,F,2016,24,187
86,1.0,25.0,2016-25,DAL,Riley Tufte,F,2016,25,186
87,1.0,26.0,2016-26,STL,Tage Thompson,F,2016,26,185
88,1.0,27.0,2016-27,TBL,Brett Howden,F,2016,27,184
89,1.0,28.0,2016-28,WSH,Lucas Johansen,D,2016,28,183
90,1.0,29.0,2016-29,BOS,Trent Frederic,F,2016,29,182
91,1.0,30.0,2016-30,ANA,Sam Steel,F,2016,30,181
92,1.0,1.0,2015-1,EDM,Connor McDavid,F,2015,1,210
93,1.0,2.0,2015-2,BUF,Jack Eichel,F,2015,2,209
94,1.0,3.0,2015-3,ARI,Dylan Strome,F,2015,3,208
95,1.0,4.0,2015-4,TOR,Mitchell Marner,F,2015,4,207
96,1.0,5.0,2015-5,CAR,Noah Hanifin,D,2015,5,206
97,1.0,6.0,2015-6,NJD,Pavel Zacha,F,2015,6,205
98,1.0,7.0,2015-7,PHI,Ivan Provorov,D,2015,7,204
99,1.0,8.0,2015-8,CBJ,Zach Werenski,D,2015,8,203
100,1.0,9.0,2015-9,SJS,Timo Meier,F,2015,9,202
101,1.0,10.0,2015-10,COL,Mikko Rantanen,F,2015,10,201
102,1.0,11.0,2015-11,FLA,Lawson Crouse,F,2015,11,200
103,1.0,12.0,2015-12,DAL,Denis Gurianov,F,2015,12,199
104,1.0,13.0,2015-13,BOS,Jakub Zboril,D,2015,13,198
105,1.0,14.0,2015-14,BOS,Jake DeBrusk,F,2015,14,197
106,1.0,15.0,2015-15,BOS,Zach Senyshyn,F,2015,15,196
107,1.0,16.0,2015-16,NYI,Mathew Barzal,F,2015,16,195
108,1.0,17.0,2015-17,WPG,Kyle Connor,F,2015,17,194
109,1.0,18.0,2015-18,OTT,Thomas Chabot,D,2015,18,193
110,1.0,19.0,2015-19,DET,Evgeny Svechnikov,F,2015,19,192
111,1.0,20.0,2015-20,MIN,Joel Eriksson Ek,F,2015,20,191
112,1.0,21.0,2015-21,OTT,Colin White,F,2015,21,190
113,1.0,22.0,2015-22,WSH,Ilya Samsonov,G,2015,22,189
114,1.0,23.0,2015-23,VAN,Brock Boeser,F,2015,23,188
115,1.0,24.0,2015-24,PHI,Travis Konecny,F,2015,24,187
116,1.0,25.0,2015-25,WPG,Jack Roslovic,F,2015,25,186
117,1.0,26.0,2015-26,MTL,Noah Juulsen,D,2015,26,185
118,1.0,27.0,2015-27,ANA,Jacob Larsson,D,2015,27,184
119,1.0,28.0,2015-28,NYI,Anthony Beauvillier,F,2015,28,183
120,1.0,29.0,2015-29,CBJ,Gabriel Carlsson,D,2015,29,182
121,1.0,30.0,2015-30,ARI,Nicholas Merkley,F,2015,30,181
122,1.0,1.0,2014-1,FLA,Aaron Ekblad,D,2014,1,209
123,1.0,2.0,2014-2,BUF,Sam Reinhart,F,2014,2,208
124,1.0,3.0,2014-3,EDM,Leon Draisaitl,F,2014,3,207
125,1.0,4.0,2014-4,CGY,Sam Bennett,F,2014,4,206
126,1.0,5.0,2014-5,NYI,Michael Dal Colle,F,2014,5,205
127,1.0,6.0,2014-6,VAN,Jake Virtanen,F,2014,6,204
128,1.0,7.0,2014-7,CAR,Haydn Fleury,D,2014,7,203
129,1.0,8.0,2014-8,TOR,William Nylander,C/RW,2014,8,202
130,1.0,9.0,2014-9,WPG,Nikolaj Ehlers,F,2014,9,201
131,1.0,10.0,2014-10,ANA,Nick Ritchie,F,2014,10,200
132,1.0,11.0,2014-11,NSH,Kevin Fiala,F,2014,11,199
133,1.0,12.0,2014-12,ARI,Brendan Perlini,F,2014,12,198
134,1.0,13.0,2014-13,WSH,Jakub Vrana,LW/RW,2014,13,197
135,1.0,14.0,2014-14,DAL,Julius Honka,D,2014,14,196
136,1.0,15.0,2014-15,DET,Dylan Larkin,F,2014,15,195
137,1.0,16.0,2014-16,CBJ,Sonny Milano,F,2014,16,194
138,1.0,17.0,2014-17,PHI,Travis Sanheim,D,2014,17,193
139,1.0,18.0,2014-18,MIN,Alex Tuch,F,2014,18,192
140,1.0,19.0,2014-19,TBL,Tony DeAngelo,D,2014,19,191
141,1.0,20.0,2014-20,CHI,Nick Schmaltz,F,2014,20,190
142,1.0,21.0,2014-21,STL,Robby Fabbri,F,2014,21,189
143,1.0,22.0,2014-22,PIT,Kasperi Kapanen,F,2014,22,188
144,1.0,23.0,2014-23,COL,Conner Bleackley,F,2014,23,187
145,1.0,24.0,2014-24,VAN,Jared McCann,F,2014,24,186
146,1.0,25.0,2014-25,BOS,David Pastrnak,F,2014,25,185
147,1.0,26.0,2014-26,MTL,Nikita Scherbak,F,2014,26,184
148,1.0,27.0,2014-27,SJS,Nikolay Goldobin,F,2014,27,183
149,1.0,28.0,2014-28,NYI,Joshua Ho-Sang,C/RW,2014,28,182
150,1.0,29.0,2014-29,LAK,Adrian Kempe,F,2014,29,181
151,1.0,30.0,2014-30,NJD,John Quenneville,F,2014,30,180
152,1.0,1.0,2013-1,COL,Nathan MacKinnon,F,2013,1,210
153,1.0,2.0,2013-2,FLA,Aleksander Barkov,F,2013,2,209
154,1.0,3.0,2013-3,TBL,Jonathan Drouin,F,2013,3,208
155,1.0,4.0,2013-4,NSH,Seth Jones,D,2013,4,207
156,1.0,5.0,2013-5,CAR,Elias Lindholm,F,2013,5,206
157,1.0,6.0,2013-6,CGY,Sean Monahan,F,2013,6,205
158,1.0,7.0,2013-7,EDM,Darnell Nurse,D,2013,7,204
159,1.0,8.0,2013-8,BUF,Rasmus Ristolainen,D,2013,8,203
160,1.0,9.0,2013-9,VAN,Bo Horvat,F,2013,9,202
161,1.0,10.0,2013-10,DAL,Valeri Nichushkin,F,2013,10,201
162,1.0,11.0,2013-11,PHI,Samuel Morin,D,2013,11,200
163,1.0,12.0,2013-12,PHX,Max Domi,C/LW,2013,12,199
164,1.0,13.0,2013-13,WPG,Josh Morrissey,D,2013,13,198
165,1.0,14.0,2013-14,CBJ,Alexander Wennberg,F,2013,14,197
166,1.0,15.0,2013-15,NYI,Ryan Pulock,D,2013,15,196
167,1.0,16.0,2013-16,BUF,Nikita Zadorov,D,2013,16,195
168,1.0,17.0,2013-17,OTT,Curtis Lazar,C/RW,2013,17,194
169,1.0,18.0,2013-18,SJS,Mirco Mueller,D,2013,18,193
170,1.0,19.0,2013-19,CBJ,Kerby Rychel,F,2013,19,192
171,1.0,20.0,2013-20,DET,Anthony Mantha,F,2013,20,191
172,1.0,21.0,2013-21,TOR,Frederik Gauthier,F,2013,21,190
173,1.0,22.0,2013-22,CGY,Emile Poirier,F,2013,22,189
174,1.0,23.0,2013-23,WSH,Andre Burakovsky,F,2013,23,188
175,1.0,24.0,2013-24,VAN,Hunter Shinkaruk,C/LW,2013,24,187
176,1.0,25.0,2013-25,MTL,Michael McCarron,F,2013,25,186
177,1.0,26.0,2013-26,ANA,Shea Theodore,D,2013,26,185
178,1.0,27.0,2013-27,CBJ,Marko Dano,F,2013,27,184
179,1.0,28.0,2013-28,CGY,Morgan Klimchuk,F,2013,28,183
180,1.0,29.0,2013-29,DAL,Jason Dickinson,F,2013,29,182
181,1.0,30.0,2013-30,CHI,Ryan Hartman,F,2013,30,181
182,1.0,1.0,2012-1,EDM,Nail Yakupov,F,2012,1,210
183,1.0,2.0,2012-2,CBJ,Ryan Murray,D,2012,2,209
184,1.0,3.0,2012-3,MTL,Alex Galchenyuk,F,2012,3,208
185,1.0,4.0,2012-4,NYI,Griffin Reinhart,D,2012,4,207
186,1.0,5.0,2012-5,TOR,Morgan Rielly,D,2012,5,206
187,1.0,6.0,2012-6,ANA,Hampus Lindholm,D,2012,6,205
188,1.0,7.0,2012-7,MIN,Matt Dumba,D,2012,7,204
189,1.0,8.0,2012-8,PIT,Derrick Pouliot,D,2012,8,203
190,1.0,9.0,2012-9,WPG,Jacob Trouba,D,2012,9,202
191,1.0,10.0,2012-10,TBL,Slater Koekkoek,D,2012,10,201
192,1.0,11.0,2012-11,WSH,Filip Forsberg,F,2012,11,200
193,1.0,12.0,2012-12,BUF,Mikhail Grigorenko,F,2012,12,199
194,1.0,13.0,2012-13,DAL,Radek Faksa,F,2012,13,198
195,1.0,14.0,2012-14,BUF,Zemgus Girgensons,F,2012,14,197
196,1.0,15.0,2012-15,OTT,Cody Ceci,D,2012,15,196
197,1.0,16.0,2012-16,WSH,Tom Wilson,F,2012,16,195
198,1.0,17.0,2012-17,SJS,Tomas Hertl,F,2012,17,194
199,1.0,18.0,2012-18,CHI,Teuvo Teravainen,F,2012,18,193
200,1.0,19.0,2012-19,TBL,Andrei Vasilevskiy,G,2012,19,192
201,1.0,20.0,2012-20,PHI,Scott Laughton,F,2012,20,191
202,1.0,21.0,2012-21,CGY,Mark Jankowski,F,2012,21,190
203,1.0,22.0,2012-22,PIT,Olli Maatta,D,2012,22,189
204,1.0,23.0,2012-23,FLA,Mike Matheson,D,2012,23,188
205,1.0,24.0,2012-24,BOS,Malcolm Subban,G,2012,24,187
206,1.0,25.0,2012-25,STL,Jordan Schmaltz,D,2012,25,186
207,1.0,26.0,2012-26,VAN,Brendan Gaunce,F,2012,26,185
208,1.0,27.0,2012-27,PHX,Henrik Samuelsson,C/RW,2012,27,184
209,1.0,28.0,2012-28,NYR,Brady Skjei,D,2012,28,183
210,1.0,29.0,2012-29,NJD,Stefan Matteau,F,2012,29,182
211,1.0,30.0,2012-30,LAK,Tanner Pearson,F,2012,30,181
212,1.0,1.0,2011-1,EDM,Ryan Nugent-Hopkins,F,2011,1,209
213,1.0,2.0,2011-2,COL,Gabriel Landeskog,F,2011,2,208
214,1.0,3.0,2011-3,FLA,Jonathan Huberdeau,F,2011,3,207
215,1.0,4.0,2011-4,NJD,Adam Larsson,D,2011,4,206
216,1.0,5.0,2011-5,NYI,Ryan Strome,F,2011,5,205
217,1.0,6.0,2011-6,OTT,Mika Zibanejad,F,2011,6,204
218,1.0,7.0,2011-7,WPG,Mark Scheifele,F,2011,7,203
219,1.0,8.0,2011-8,PHI,Sean Couturier,F,2011,8,202
220,1.0,9.0,2011-9,BOS,Dougie Hamilton,D,2011,9,201
221,1.0,10.0,2011-10,MIN,Jonas Brodin,D,2011,10,200
222,1.0,11.0,2011-11,COL,Duncan Siemens,D,2011,11,199
223,1.0,12.0,2011-12,CAR,Ryan Murphy,D,2011,12,198
224,1.0,13.0,2011-13,CGY,Sven Baertschi,F,2011,13,197
225,1.0,14.0,2011-14,DAL,Jamie Oleksiak,D,2011,14,196
226,1.0,15.0,2011-15,NYR,J.T. Miller,F,2011,15,195
227,1.0,16.0,2011-16,BUF,Joel Armia,F,2011,16,194
228,1.0,17.0,2011-17,MTL,Nathan Beaulieu,D,2011,17,193
229,1.0,18.0,2011-18,CHI,Mark McNeill,F,2011,18,192
230,1.0,19.0,2011-19,EDM,Oscar Klefbom,D,2011,19,191
231,1.0,20.0,2011-20,PHX,Connor Murphy,D,2011,20,190
232,1.0,21.0,2011-21,OTT,Stefan Noesen,F,2011,21,189
233,1.0,22.0,2011-22,TOR,Tyler Biggs,F,2011,22,188
234,1.0,23.0,2011-23,PIT,Joe Morrow,D,2011,23,187
235,1.0,24.0,2011-24,OTT,Matt Puempel,F,2011,24,186
236,1.0,25.0,2011-25,TOR,Stuart Percy,D,2011,25,185
237,1.0,26.0,2011-26,CHI,Phillip Danault,F,2011,26,184
238,1.0,27.0,2011-27,TBL,Vladislav Namestnikov,F,2011,27,183
239,1.0,28.0,2011-28,MIN,Zack Phillips,F,2011,28,182
240,1.0,29.0,2011-29,VAN,Nicklas Jensen,LW/RW,2011,29,181
241,1.0,30.0,2011-30,ANA,Rickard Rakell,F,2011,30,180
242,1.0,1.0,2010-1,EDM,Taylor Hall,F,2010,1,209
243,1.0,2.0,2010-2,BOS,Tyler Seguin,F,2010,2,208
244,1.0,3.0,2010-3,FLA,Erik Gudbranson,D,2010,3,207
245,1.0,4.0,2010-4,CBJ,Ryan Johansen,F,2010,4,206
246,1.0,5.0,2010-5,NYI,Nino Niederreiter,F,2010,5,205
247,1.0,6.0,2010-6,TBL,Brett Connolly,F,2010,6,204
248,1.0,7.0,2010-7,CAR,Jeff Skinner,F,2010,7,203
249,1.0,8.0,2010-8,ATL,Alexander Burmistrov,F,2010,8,202
250,1.0,9.0,2010-9,MIN,Mikael Granlund,F,2010,9,201
251,1.0,10.0,2010-10,NYR,Dylan McIlrath,D,2010,10,200
252,1.0,11.0,2010-11,DAL,Jack Campbell,G,2010,11,199
253,1.0,12.0,2010-12,ANA,Cam Fowler,D,2010,12,198
254,1.0,13.0,2010-13,PHX,Brandon Gormley,D,2010,13,197
255,1.0,14.0,2010-14,STL,Jaden Schwartz,F,2010,14,196
256,1.0,15.0,2010-15,LAK,Derek Forbort,D,2010,15,195
257,1.0,16.0,2010-16,STL,Vladimir Tarasenko,F,2010,16,194
258,1.0,17.0,2010-17,COL,Joey Hishon,F,2010,17,193
259,1.0,18.0,2010-18,NSH,Austin Watson,F,2010,18,192
260,1.0,19.0,2010-19,FLA,Nick Bjugstad,F,2010,19,191
261,1.0,20.0,2010-20,PIT,Beau Bennett,F,2010,20,190
262,1.0,21.0,2010-21,DET,Riley Sheahan,F,2010,21,189
263,1.0,22.0,2010-22,MTL,Jarred Tinordi,D,2010,22,188
264,1.0,23.0,2010-23,BUF,Mark Pysyk,D,2010,23,187
265,1.0,24.0,2010-24,CHI,Kevin Hayes,F,2010,24,186
266,1.0,25.0,2010-25,FLA,Quinton Howden,F,2010,25,185
267,1.0,26.0,2010-26,WSH,Evgeny Kuznetsov,F,2010,26,184
268,1.0,27.0,2010-27,PHX,Mark Visentin,G,2010,27,183
269,1.0,28.0,2010-28,SJS,Charlie Coyle,C/RW,2010,28,182
270,1.0,29.0,2010-29,ANA,Emerson Etem,F,2010,29,181
271,1.0,30.0,2010-30,NYI,Brock Nelson,F,2010,30,180
272,1.0,1.0,2009-1,NYI,John Tavares,F,2009,1,209
273,1.0,2.0,2009-2,TBL,Victor Hedman,D,2009,2,208
274,1.0,3.0,2009-3,COL,Matt Duchene,F,2009,3,207
275,1.0,4.0,2009-4,ATL,Evander Kane,F,2009,4,206
276,1.0,5.0,2009-5,LAK,Brayden Schenn,F,2009,5,205
277,1.0,6.0,2009-6,PHX,Oliver Ekman-Larsson,D,2009,6,204
278,1.0,7.0,2009-7,TOR,Nazem Kadri,F,2009,7,203
279,1.0,8.0,2009-8,DAL,Scott Glennie,F,2009,8,202
280,1.0,9.0,2009-9,OTT,Jared Cowen,D,2009,9,201
281,1.0,10.0,2009-10,EDM,Magnus Paajarvi,F,2009,10,200
282,1.0,11.0,2009-11,NSH,Ryan Ellis,D,2009,11,199
283,1.0,12.0,2009-12,NYI,Calvin de Haan,D,2009,12,198
284,1.0,13.0,2009-13,BUF,Zack Kassian,F,2009,13,197
285,1.0,14.0,2009-14,FLA,Dmitry Kulikov,D,2009,14,196
286,1.0,15.0,2009-15,ANA,Peter Holland,F,2009,15,195
287,1.0,16.0,2009-16,MIN,Nick Leddy,D,2009,16,194
288,1.0,17.0,2009-17,STL,David Rundblad,D,2009,17,193
289,1.0,18.0,2009-18,MTL,Louis Leblanc,F,2009,18,192
290,1.0,19.0,2009-19,NYR,Chris Kreider,F,2009,19,191
291,1.0,20.0,2009-20,NJD,Jacob Josefson,F,2009,20,190
292,1.0,21.0,2009-21,CBJ,John Moore,D,2009,21,189
293,1.0,22.0,2009-22,VAN,Jordan Schroeder,F,2009,22,188
294,1.0,23.0,2009-23,CGY,Tim Erixon,D,2009,23,187
295,1.0,24.0,2009-24,WSH,Marcus Johansson,F,2009,24,186
296,1.0,25.0,2009-25,BOS,Jordan Caron,F,2009,25,185
297,1.0,26.0,2009-26,ANA,Kyle Palmieri,F,2009,26,184
298,1.0,27.0,2009-27,CAR,Philippe Paradis,F,2009,27,183
299,1.0,28.0,2009-28,CHI,Dylan Olsen,D,2009,28,182
300,1.0,29.0,2009-29,TBL,Carter Ashton,F,2009,29,181
301,1.0,30.0,2009-30,PIT,Simon Despres,D,2009,30,180
302,1.0,1.0,2008-1,TBL,Steven Stamkos,F,2008,1,210
303,1.0,2.0,2008-2,LAK,Drew Doughty,D,2008,2,209
304,1.0,3.0,2008-3,ATL,Zach Bogosian,D,2008,3,208
305,1.0,4.0,2008-4,STL,Alex Pietrangelo,D,2008,4,207
306,1.0,5.0,2008-5,TOR,Luke Schenn,D,2008,5,206
307,1.0,6.0,2008-6,CBJ,Nikita Filatov,F,2008,6,205
308,1.0,7.0,2008-7,NSH,Colin Wilson,F,2008,7,204
309,1.0,8.0,2008-8,PHX,Mikkel Boedker,F,2008,8,203
310,1.0,9.0,2008-9,NYI,Josh Bailey,F,2008,9,202
311,1.0,10.0,2008-10,VAN,Cody Hodgson,F,2008,10,201
312,1.0,11.0,2008-11,CHI,Kyle Beach,F,2008,11,200
313,1.0,12.0,2008-12,BUF,Tyler Myers,D,2008,12,199
314,1.0,13.0,2008-13,LAK,Colten Teubert,D,2008,13,198
315,1.0,14.0,2008-14,CAR,Zach Boychuk,F,2008,14,197
316,1.0,15.0,2008-15,OTT,Erik Karlsson,D,2008,15,196
317,1.0,16.0,2008-16,BOS,Joe Colborne,F,2008,16,195
318,1.0,17.0,2008-17,ANA,Jake Gardiner,D,2008,17,194
319,1.0,18.0,2008-18,NSH,Chet Pickard,G,2008,18,193
320,1.0,19.0,2008-19,PHI,Luca Sbisa,D,2008,19,192
321,1.0,20.0,2008-20,NYR,Michael Del Zotto,D,2008,20,191
322,1.0,21.0,2008-21,WSH,Anton Gustafsson,F,2008,21,190
323,1.0,22.0,2008-22,EDM,Jordan Eberle,F,2008,22,189
324,1.0,23.0,2008-23,MIN,Tyler Cuma,D,2008,23,188
325,1.0,24.0,2008-24,NJD,Mattias Tedenby,F,2008,24,187
326,1.0,25.0,2008-25,CGY,Greg Nemisz,F,2008,25,186
327,1.0,26.0,2008-26,BUF,Tyler Ennis,F,2008,26,185
328,1.0,27.0,2008-27,WSH,John Carlson,D,2008,27,184
329,1.0,28.0,2008-28,PHX,Viktor Tikhonov,F,2008,28,183
330,1.0,29.0,2008-29,ATL,Daultan Leveille,F,2008,29,182
331,1.0,30.0,2008-30,DET,Tom McCollum,G,2008,30,181
332,1.0,1.0,2007-1,CHI,Patrick Kane,F,2007,1,210
333,1.0,2.0,2007-2,PHI,James van Riemsdyk,F,2007,2,209
334,1.0,3.0,2007-3,PHX,Kyle Turris,F,2007,3,208
335,1.0,4.0,2007-4,LAK,Thomas Hickey,D,2007,4,207
336,1.0,5.0,2007-5,WSH,Karl Alzner,D,2007,5,206
337,1.0,6.0,2007-6,EDM,Sam Gagner,F,2007,6,205
338,1.0,7.0,2007-7,CBJ,Jakub Voracek,F,2007,7,204
339,1.0,8.0,2007-8,BOS,Zach Hamill,F,2007,8,203
340,1.0,9.0,2007-9,SJS,Logan Couture,F,2007,9,202
341,1.0,10.0,2007-10,FLA,Keaton Ellerby,D,2007,10,201
342,1.0,11.0,2007-11,CAR,Brandon Sutter,F,2007,11,200
343,1.0,12.0,2007-12,MTL,Ryan McDonagh,D,2007,12,199
344,1.0,13.0,2007-13,STL,Lars Eller,F,2007,13,198
345,1.0,14.0,2007-14,COL,Kevin Shattenkirk,D,2007,14,197
346,1.0,15.0,2007-15,EDM,Alex Plante,D,2007,15,196
347,1.0,16.0,2007-16,MIN,Colton Gillies,F,2007,16,195
348,1.0,17.0,2007-17,NYR,Alexei Cherepanov,F,2007,17,194
349,1.0,18.0,2007-18,STL,Ian Cole,D,2007,18,193
350,1.0,19.0,2007-19,ANA,Logan MacMillan,F,2007,19,192
351,1.0,20.0,2007-20,PIT,Angelo Esposito,F,2007,20,191
352,1.0,21.0,2007-21,EDM,Riley Nash,F,2007,21,190
353,1.0,22.0,2007-22,MTL,Max Pacioretty,F,2007,22,189
354,1.0,23.0,2007-23,NSH,Jonathon Blum,D,2007,23,188
355,1.0,24.0,2007-24,CGY,Mikael Backlund,F,2007,24,187
356,1.0,25.0,2007-25,VAN,Patrick White,F,2007,25,186
357,1.0,26.0,2007-26,STL,David Perron,F,2007,26,185
358,1.0,27.0,2007-27,DET,Brendan Smith,D,2007,27,184
359,1.0,28.0,2007-28,SJS,Nick Petrecki,D,2007,28,183
360,1.0,29.0,2007-29,OTT,Jim O'Brien,F,2007,29,182
361,1.0,30.0,2007-30,PHX,Nick Ross,D,2007,30,181
362,1.0,1.0,2006-1,STL,Erik Johnson,D,2006,1,212
363,1.0,2.0,2006-2,PIT,Jordan Staal,F,2006,2,211
364,1.0,3.0,2006-3,CHI,Jonathan Toews,F,2006,3,210
365,1.0,4.0,2006-4,WSH,Nicklas Backstrom,F,2006,4,209
366,1.0,5.0,2006-5,BOS,Phil Kessel,F,2006,5,208
367,1.0,6.0,2006-6,CBJ,Derick Brassard,F,2006,6,207
368,1.0,7.0,2006-7,NYI,Kyle Okposo,F,2006,7,206
369,1.0,8.0,2006-8,PHX,Peter Mueller,F,2006,8,205
370,1.0,9.0,2006-9,MIN,James Sheppard,F,2006,9,204
371,1.0,10.0,2006-10,FLA,Michael Frolik,F,2006,10,203
372,1.0,11.0,2006-11,LAK,Jonathan Bernier,G,2006,11,202
373,1.0,12.0,2006-12,ATL,Bryan Little,F,2006,12,201
374,1.0,13.0,2006-13,TOR,Jiri Tlusty,F,2006,13,200
375,1.0,14.0,2006-14,VAN,Michael Grabner,F,2006,14,199
